Артикул;Название товара;Бренд;Остаток на складе;Оптовая цена;Розничная цена;Ссылка на сайте
TA-45C-1300-3S1P;Аккумулятор TATTU 1300 mAh 3S 11.1V 45C LiPo XT60;TATTU;30;1592.00;1990.00;
BETA-0053;Разъем BETAFPV JST-PH 2.0 (мама) с кабелем;BETAFPV;30;42.00;60.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_betafpv_jst_ph_2_0_mama_s_kabelem/
1225281-blue;Пропеллеры Dalprop Cyclone T5040C (4 штуки);;30;264.00;310.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dalprop_cyclone_t5040c_4_shtuki/
FH-FRM3-35;Стойка алюминиевая круглая (d=5 мм) М3 35 мм (1 шт);FlashHobby;30;35.00;45.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/stoyka_alyuminievaya_kruglaya_d_5_mm_m3_35_mm_1_sht/
FH-8160;Разъем Deans T-Plug (пара);;30;56.00;80.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_deans_t_plug_v2_para/
4630097671263-5;Гигиенический гель для рук, антибактериальный, с алоэ и витамином Е, ПЭТ, 30 мл (5 шт в комплекте);;30;;;https://brrc.ru/catalog/radioupravlyaemye_igrushki/sbornye_modeli/zapchasti_i_aksessuary_dlya_sbornykh_modeley/gigienicheskiy_gel_dlya_ruk_antibakterialnyy_s_aloe_i_vitaminom_e_pet_30_ml_5_sht_v_komplekte/
FH-8039;Разъем XT60 (пара);;30;112.00;160.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_xt60_para/
FH-FRM3-30;Стойка алюминиевая круглая (d=5 мм) М3 30 мм (1 шт);FlashHobby;30;35.00;45.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/stoyka_alyuminievaya_kruglaya_d_5_mm_m3_30_mm_1_sht/
1002947;2-сторонняя клейкая лента 3 метра 15мм*3м;3M;30;172.00;230.00;https://brrc.ru/catalog/materialy_i_instrumenty/lipuchki_skotchi/2_storonnyaya_kleykaya_lenta_3m_15mm_3m/
FH-FRM3-25;Стойка алюминиевая круглая (d=5 мм) М3 25 мм (1 шт);FlashHobby;30;35.00;45.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/stoyka_alyuminievaya_kruglaya_d_5_mm_m3_25_mm_1_sht/
1478433;Пищалка мини 9x5.5мм 5V Alarm Buzzer с проводом;;30;51.00;60.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/pishchalka_mini_9x5_5mm_5v_alarm_buzzer_s_provodom/
IMAX-BVT;Тестер Li-Po батарей ImaxRC;IMAXRC;30;230.00;300.00;https://brrc.ru/catalog/apparatura_i_elektronika/izmeritelnye_ustroystva/tester_li_po_batarey_imaxrc/
SCR-041;Лента-стяжка кевларовая (200x20мм) для крепления аккумуляторов (1шт);SCR;30;126.00;180.00;https://brrc.ru/catalog/materialy_i_instrumenty/lipuchki_skotchi/lenta_styazhka_kevlarovaya_250x16mm_dlya_krepleniya_akkumulyatorov_1sht/
DRC-B3-10W;Зарядное устройство Deep RC IMAX B3 PRO 10W (2-3S);Deep RC;30;840.00;1050.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_deep_rc_imax_b3_pro_compact_10w_2_3s/
1412575;Пропеллеры (4шт) Quick Release CW/CCW для Ryze Tello;;30;238.00;390.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/propellery_2/propellery_4sht_quick_release_cw_ccw_dlya_ryze_tello/
77537;XT60 (папа) с проводом 12AWG 10см;;30;172.00;230.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/xt60_papa_s_provodom_12awg_10sm/
SCR-034;Пластиковая проставка 3 мм длиной 5 мм 10шт;SCR;30;34.00;40.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/plastikovaya_prostavka_3_mm_dlinoy_5_mm_10sht/
1649321;Зарядное устройство USB для аккумуляторов 1S Li-Po;;30;225.00;300.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_usb_dlya_akkumulyatorov_1s_li_po/
FH-8042;Разъем MR30-M/FB;;30;112.00;160.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_mr30_m_fb/
DRC-2330;Специальный мешок для зарядки и хранения LiPol аккумуляторов Deep RC 23x30 см (большой);;30;552.00;690.00;https://brrc.ru/catalog/akkumulyatory_i_batareyki/li_pol/spetsialnyy_meshok_dlya_zaryadki_i_khraneniya_lipol_akkumulyatorov_deep_rc_23x30_sm_bolshoy/
BETA-0059-1;Переходник BETAFPV PH2.0 - BT2.0;;30;85.00;100.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/perekhodnik_betafpv_ph2_0_bt2_0/
HPM-EX1404;Бесколлекторный электродвигатель Happymodel EX1404 3500Kv;Happymodel;30;1360.00;1600.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_elektrodvigatel_happymodel_ex1404_3500kv/
FH-8049;Разъем JST (BEC) (мама) с кабелем;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_jst_bec_mama_s_kabelem/
FH-8048;Разъем JST (BEC) (папа) с кабелем;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_jst_bec_papa_s_kabelem/
FH-AM35;Регулятор оборотов Flash Hobby 35A AM_32 ESC;FlashHobby;30;2120.00;2650.00;https://brrc.ru/catalog/apparatura_i_elektronika/regulyatory/regulyatory_khoda_beskollektornye/regulyator_oborotov_flash_hobby_35a_am_32_esc/
BETA-0044;Пропеллеры 4-х лопастные 31 мм, вал 0,8 мм BETAFPV;BETAFPV;30;255.00;300.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_4_kh_lopastnye_31_mm_val_0_8_mm_betafpv/
FH-A2807;Бесколлекторный мотор Flash Hobby A2807 1300 Kv;FlashHobby;30;2072.00;2590.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_flash_hobby_a2807_1300_kv/
DYS-RTM10;Ключ DYS M4/5.5/8/10 для моторов;DYS;30;256.00;320.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/klyuch_dys_m4_5_5_8_10_dlya_motorov/
988213;Регулятор оборотов Spedix ES20 Lite 20A BLHELI_S Firmware;;30;1352.00;1690.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/elektronika/regulyator_oborotov_spedix_es20_lite_20a_blheli_s_firmware/
645545;Антенна Turbowing 5.8GHz 8dBi RHCP (разъём RP-SMA);;30;876.00;1030.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/antenna_turbowing_5_8ghz_8dbi_rhcp_razyem_rp_sma/
HPM-EX1204;Бесколлекторный мотор Happymodel EX1204 5000Kv;Happymodel;30;1360.00;1600.00;https://brrc.ru/catalog/dvigateli/elektro_beskollektornye/beskollektornyy_motor_happymodel_ex1204_5000kv/
FH-8040;Разъем XT60H с защитой кабелей (пара);;30;126.00;180.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_xt60h_s_zashchitoy_kabeley_para/
FH-8412;Разъем HXT 4 мм с корпусом;;30;91.00;130.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_hxt_4_mm_s_korpusom_para/
HPM-ES900RX;Модуль приема Happymodel ES900RX 915mhz для пульта управления;Happymodel;30;2618.00;3080.00;https://brrc.ru/catalog/apparatura_i_elektronika/priemniki/modul_priema_happymodel_es900rx_915mhz_dlya_pulta_upravleniya/
BETA-0022;Рама пластиковая 65мм (под моторы 7x16 мм) BETAFPV: Beta65S;BETAFPV;30;383.00;450.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_betafpv/rama_plastikovaya_65mm_betafpv_beta65s/
FH-BL20A;Регулятор оборотов Flash Hobby BL20A BLHELI_S Firmware;FlashHobby;30;1160.00;1450.00;https://brrc.ru/catalog/apparatura_i_elektronika/regulyatory/regulyatory_khoda_beskollektornye/regulyator_oborotov_flash_hobby_bl20a_blheli_s_firmware/
FR-XM-plus;Приемник FrSky XM+;FrSky;30;2576.00;3030.00;https://brrc.ru/catalog/apparatura_i_elektronika/priemniki/priemnik_frsky_xm/
FH-8024;Разъем 4 мм банан без корпуса (мама, папа);;30;49.00;70.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/rayzem_4_mm_banan_bez_korpusa_para/
DRC-B3-20W;Зарядное устройство Deep RC IMAX B3 COMPACT 20W (2-3S);Deep RC;30;1112.00;1390.00;https://brrc.ru/catalog/zaryadnye_ustroystva_i_bloki_pitaniya/zaryadnoe_ustroystvo_deep_rc_b3_compact_20w_2_3s/
FH-8038;Разъем TRAXXAS 2pin (пара);;30;105.00;150.00;https://brrc.ru/catalog/apparatura_i_elektronika/razemy_vyklyuchateli/razem_traxxas_2pin_para/
DRC-1823;Специальный мешок для зарядки и хранения LiPol аккумуляторов Deep RC 18x23 см (малый);Deep RC;30;472.00;590.00;https://brrc.ru/catalog/akkumulyatory_i_batareyki/li_pol/spetsialnyy_meshok_dlya_zaryadki_i_khraneniya_lipol_akkumulyatorov_deep_rc_18x23_sm_malyy/
1609703-1mm-black;Пропеллеры (4 пары) Gemfan 65мм (отверстие 1мм);Gemfan;30;247.00;290.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_4_pary_gemfan_65mm_otverstie_1mm/
1617017-gold;Кабель OTG Type C - Micro USB;;30;172.00;230.00;https://brrc.ru/catalog/apparatura_i_elektronika/kabeli_provoda/kabel_otg_type_c_micro_usb/
T-003;Радиомодем ReadyToSky TTL 500mW 3DR 433 Mhz Radio Telemetry Kit;ReadyToSky;30;5865.00;6900.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/radiomodem_readytosky_ttl_250mw_3dr_433_mhz_radio_telemetry_kit/
HQ-3520;Пропеллеры HQProp 35x20, вал 1.5 мм;;30;383.00;450.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_hqprop_35x20_val_1_5_mm/
CDX-008;Видеокамера CADDX Loris 4K;Caddx;30;13728.00;16150.00;https://brrc.ru/catalog/multikoptery/oborudovanie_dlya_video_i_fpv/videokamera_caddx_loris_4k/
